opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-FY26-0185,APAC,Public Sector,Company 185 - Analytics & Reporting,Prove,Owner 29,0,Q2 FY26,Analytics & Reporting,52361,Exec sponsor confirm,2026-01-03,,,,,,Company 185,Parent Account 8,CTO,No,No,No,Legacy expensive,Budget expires FY,Strong roadmap,Competitor B,GSII,
OPP-FY26-0186,GP&A,Strategic Accounts,Company 186 - Security & Compliance,Explore,Owner 36,0,Q2 FY26,DevOps & Automation,91894,,2026-03-15,,,,,,Company 186,,Cloud Arch,No,No,No,,Renewal soon,Best fit,Competitor C,Consulting Co,
OPP-FY26-0187,APAC,Public Sector,Company 187 - AI/ML Enablement,Commit,Owner 21,0,Q2 FY26,Security & Compliance,79534,Procurement alignment,2026-02-23,,,,,,Company 187,,Head of Data,No,Yes,,Fragmented tools,Exec mandate,Strong roadmap,Competitor A,Consulting Co,Faster release
OPP-FY26-0188,LAC,SMB,Company 188 - DevOps & Automation,Commit,Owner 67,3,Q2 FY26,Cloud Cost Optimization,57314,,2026-02-24,2026-03-20,2026-04-18,2026-05-13,,,Company 188,Parent Account 149,CTO,No,,,Fragmented tools,,,Competitor C,Partner X,Visibility
OPP-FY26-0189,LAC,Enterprise,Company 189 - Data Platform Modernization,Explore,Owner 38,4,Q3 FY26,Customer 360 View,36023,,2026-04-08,2026-04-20,,2026-07-05,61,,Company 189,,CTO,No,Yes,,,Exec mandate,,Internal Build,Consulting Co,Faster release
OPP-FY26-0190,EMEA,Public Sector,Company 190 - DevOps & Automation,Explore,Owner 25,4,Q1 FY26,Customer 360 View,24127,Procurement alignment,2025-11-29,,2026-01-22,,199,,Company 190,Parent Account 111,Head of Data,No,No,No,Reg risk,Budget expires FY,Best fit,Competitor B,GSII,Visibility
OPP-FY26-0191,APAC,Strategic Accounts,Company 191 - Data Platform Modernization,Explore,Owner 186,0,Q1 FY26,Data Platform Modernization,45802,,2025-10-04,,,,,,Company 191,Parent Account 9,CIO,Yes,Yes,Yes,,Budget expires FY,Best fit,Competitor B,GSII,Security posture
OPP-FY26-0192,EMEA,Strategic Accounts,Company 192 - DevOps & Automation,Commit,Owner 198,0,Q2 FY26,Analytics & Reporting,100091,Procurement alignment,2026-03-13,,,,,,Company 192,Parent Account 42,,Yes,No,No,,Renewal soon,Best fit,Competitor B,Consulting Co,
OPP-FY26-0193,APAC,Public Sector,Company 193 - DevOps & Automation,Prove,Owner 199,3,Q1 FY26,AI/ML Enablement,68081,,2025-11-25,2026-01-06,2026-02-19,2026-02-28,,,Company 193,Parent Account 128,CTO,Yes,,No,Fragmented tools,M&A drive,References match,Competitor A,None,
OPP-FY26-0194,APAC,SMB,Company 194 - Customer 360 View,Prove,Owner 21,3,Q1 FY26,Analytics & Reporting,28354,Deep dive,2025-11-01,2025-12-10,2026-01-16,2026-02-10,,,Company 194,Parent Account 197,VP Eng,Yes,No,No,Fragmented tools,Exec mandate,References match,Competitor B,Partner X,
OPP-FY26-0195,APAC,Enterprise,Company 195 - Data Platform Modernization,Explore,Owner 87,4,Q1 FY26,Analytics & Reporting,66430,Procurement alignment,2025-12-01,2026-01-04,2026-01-31,2026-02-07,198,,Company 195,,,No,Yes,Yes,Fragmented tools,M&A drive,References match,Status Quo,Partner X,Reduce Ops
OPP-FY26-0196,EMEA,Enterprise,Company 196 - AI/ML Enablement,Commit,Owner 44,1,Q1 FY26,Analytics & Reporting,75447,,2025-10-04,2025-10-18,,,,,Company 196,Parent Account 28,CIO,,Yes,No,,Budget expires FY,,Competitor A,GSII,Reduce Ops
OPP-FY26-0197,NORAM,Public Sector,Company 197 - Cloud Cost Optimization,Explore,Owner 26,1,Q2 FY26,Analytics & Reporting,35231,,2026-03-28,2026-04-23,,,,,Company 197,,Head of Data,,,,Fragmented tools,Exec mandate,References match,Competitor B,Partner Y,Security posture
OPP-FY26-0198,EMEA,SMB,Company 198 - AI/ML Enablement,Explore,Owner 143,3,Q1 FY26,Security & Compliance,65659,Exec sponsor confirm,2025-12-01,2025-12-15,2026-01-26,2026-01-31,,,Company 198,Parent Account 136,CIO,Yes,,,Legacy expensive,M&A drive,Best fit,Competitor A,Partner X,
OPP-FY26-0199,APAC,Strategic Accounts,Company 199 - Customer 360 View,Explore,Owner 19,3,Q1 FY26,Security & Compliance,62002,,2025-12-04,,2026-02-08,2026-03-12,,,Company 199,,Head of Data,,,Yes,,M&A drive,References match,Competitor A,Consulting Co,
OPP-FY26-0200,EMEA,SMB,Company 200 - Security & Compliance,Prove,Owner 33,3,Q1 FY26,Cloud Cost Optimization,30158,Procurement alignment,2025-11-07,,2026-01-04,2026-02-05,,,Company 200,Parent Account 16,,No,Yes,Yes,Legacy expensive,Budget expires FY,,Status Quo,Consulting Co,Reduce Ops
OPP-FY26-0201,LAC,Mid-Market,Company 201 - Customer 360 View,Explore,Owner 107,3,Q1 FY26,Cloud Cost Optimization,74211,Proposal review,2025-12-11,,2026-01-13,2026-01-31,,,Company 201,Parent Account 121,Infra Lead,Yes,No,Yes,,Renewal soon,References match,Competitor B,GSII,
OPP-FY26-0202,NORAM,Strategic Accounts,Company 202 - Analytics & Reporting,Commit,Owner 192,0,Q1 FY26,Customer 360 View,83823,Procurement alignment,2025-10-05,,,,,,Company 202,Parent Account 117,Director IT,,No,Yes,Fragmented tools,Exec mandate,Strong roadmap,Competitor C,None,Reduce Ops
OPP-FY26-0203,APAC,Public Sector,Company 203 - DevOps & Automation,Prove,Owner 14,0,Q2 FY26,Cloud Cost Optimization,114671,POC run,2026-03-08,,,,,,Company 203,Parent Account 120,,,Yes,,,Renewal soon,Best fit,Competitor B,GSII,Security posture
OPP-FY26-0204,LAC,Public Sector,Company 204 - Data Platform Modernization,Prove,Owner 159,4,Q2 FY26,Data Platform Modernization,112677,Deep dive,2026-03-24,2026-04-23,2026-05-13,2026-05-19,127,,Company 204,,Infra Lead,,,No,Does not scale,,,Competitor B,Consulting Co,Reduce Ops
OPP-FY26-0205,APAC,SMB,Company 205 - Security & Compliance,Explore,Owner 6,4,Q3 FY26,Analytics & Reporting,26196,POC run,2026-06-01,2026-07-14,2026-07-18,,24,,Company 205,,Cloud Arch,No,No,No,Reg risk,Budget expires FY,,Competitor C,Partner Y,Faster release
OPP-FY26-0206,LAC,Mid-Market,Company 206 - DevOps & Automation,Commit,Owner 74,2,Q3 FY26,Security & Compliance,34108,Procurement alignment,2026-04-16,2026-04-22,2026-05-04,,,,Company 206,,Cloud Arch,,,No,,,Low TCO,Competitor C,Partner Y,Security posture
OPP-FY26-0207,GP&A,Strategic Accounts,Company 207 - Analytics & Reporting,Explore,Owner 118,1,Q2 FY26,Data Platform Modernization,81554,Deep dive,2026-02-14,2026-03-08,,,,,Company 207,Parent Account 190,Head of Data,No,No,No,Legacy expensive,,Low TCO,Competitor A,Partner Y,Visibility
OPP-FY26-0208,LAC,Mid-Market,Company 208 - Analytics & Reporting,Prove,Owner 51,3,Q2 FY26,Cloud Cost Optimization,81492,,2026-03-08,,,2026-05-20,,,Company 208,Parent Account 115,Infra Lead,Yes,,No,Fragmented tools,Exec mandate,References match,Competitor C,Partner X,Security posture
OPP-FY26-0209,GP&A,Strategic Accounts,Company 209 - Data Platform Modernization,Explore,Owner 187,2,Q2 FY26,AI/ML Enablement,81554,Procurement alignment,2026-01-23,,2026-03-10,,,,Company 209,,,,No,,,M&A drive,Strong roadmap,Status Quo,Consulting Co,
OPP-FY26-0210,LAC,Strategic Accounts,Company 210 - Security & Compliance,Explore,Owner 1,3,Q1 FY26,Security & Compliance,604186,Exec sponsor confirm,2025-12-14,2026-01-21,2026-02-24,2026-03-01,,,Company 210,Parent Account 164,Cloud Arch,Yes,No,No,,Exec mandate,Low TCO,Competitor C,None,Faster release
OPP-FY26-0211,EMEA,Mid-Market,Company 211 - Customer 360 View,Explore,Owner 38,2,Q2 FY26,Data Platform Modernization,84333,Implementation plan,2026-03-10,2026-04-12,2026-04-22,,,,Company 211,Parent Account 178,CTO,Yes,No,,Does not scale,Renewal soon,Best fit,Status Quo,Partner Y,Security posture
OPP-FY26-0212,APAC,Mid-Market,Company 212 - Customer 360 View,Prove,Owner 96,2,Q1 FY26,Analytics & Reporting,118342,POC run,2025-12-09,2026-01-04,2026-01-13,,,,Company 212,Parent Account 88,,Yes,Yes,Yes,,Budget expires FY,,Competitor C,Partner Y,Faster release
OPP-FY26-0213,NORAM,SMB,Company 213 - Security & Compliance,Explore,Owner 34,4,Q2 FY26,Cloud Cost Optimization,106127,,2026-02-11,2026-03-07,,,167,,Company 213,Parent Account 196,,Yes,,,Fragmented tools,,Strong roadmap,Competitor A,Partner X,Reduce Ops
OPP-FY26-0214,NORAM,SMB,Company 214 - Customer 360 View,Prove,Owner 91,1,Q1 FY26,Security & Compliance,88506,,2025-11-17,2026-01-01,,,,,Company 214,,Cloud Arch,Yes,,Yes,Legacy expensive,Budget expires FY,Low TCO,Competitor A,Partner Y,Faster release
OPP-FY26-0215,EMEA,Enterprise,Company 215 - AI/ML Enablement,Explore,Owner 134,4,Q1 FY26,Security & Compliance,49555,,2025-11-17,2025-12-18,2025-12-27,2026-01-10,238,,Company 215,Parent Account 93,Infra Lead,,,No,Does not scale,,,Internal Build,Partner Y,Visibility
OPP-FY26-0216,LAC,Enterprise,Company 216 - Cloud Cost Optimization,Explore,Owner 102,3,Q3 FY26,AI/ML Enablement,94408,Deep dive,2026-05-29,2026-06-24,2026-07-08,2026-07-11,,,Company 216,Parent Account 27,Infra Lead,,,,Reg risk,Exec mandate,Strong roadmap,Internal Build,GSII,Faster release
OPP-FY26-0217,NORAM,Mid-Market,Company 217 - Cloud Cost Optimization,Explore,Owner 189,3,Q2 FY26,Cloud Cost Optimization,37658,POC run,2026-02-02,2026-03-09,,2026-04-10,,,Company 217,,Director IT,Yes,,Yes,Reg risk,,References match,Competitor C,None,Security posture
OPP-FY26-0218,NORAM,Public Sector,Company 218 - DevOps & Automation,Prove,Owner 181,4,Q2 FY26,Security & Compliance,51943,,2026-02-17,2026-02-21,2026-02-26,2026-03-28,176,,Company 218,Parent Account 35,VP Eng,No,No,No,Legacy expensive,,References match,Competitor C,GSII,
OPP-FY26-0219,EMEA,Strategic Accounts,Company 219 - Data Platform Modernization,Explore,Owner 170,4,Q1 FY26,Security & Compliance,44747,Deep dive,2025-10-12,,2025-11-18,2025-12-13,251,,Company 219,Parent Account 166,VP Eng,Yes,,Yes,Fragmented tools,M&A drive,,Internal Build,None,Visibility
OPP-FY26-0220,EMEA,Strategic Accounts,Company 220 - Customer 360 View,Commit,Owner 87,3,Q2 FY26,Security & Compliance,62888,Implementation plan,2026-02-24,,2026-04-15,2026-05-24,,,Company 220,Parent Account 94,Director IT,Yes,,,Reg risk,Renewal soon,Low TCO,Competitor C,Partner X,Faster release
OPP-FY26-0221,GP&A,Public Sector,Company 221 - Data Platform Modernization,Explore,Owner 107,2,Q3 FY26,AI/ML Enablement,240096,Exec sponsor confirm,2026-04-22,2026-04-29,2026-06-12,,,,Company 221,Parent Account 132,Director IT,Yes,Yes,Yes,,M&A drive,Low TCO,Competitor C,Consulting Co,
OPP-FY26-0222,GP&A,SMB,Company 222 - Analytics & Reporting,Prove,Owner 166,2,Q3 FY26,Security & Compliance,19528,Deep dive,2026-05-05,2026-06-04,2026-07-03,,,,Company 222,Parent Account 154,CTO,,,No,Reg risk,,,Competitor C,GSII,Reduce Ops
OPP-FY26-0223,APAC,Enterprise,Company 223 - Data Platform Modernization,Commit,Owner 77,0,Q3 FY26,Analytics & Reporting,90377,Procurement alignment,2026-04-03,,,,,,Company 223,Parent Account 105,VP Eng,Yes,,Yes,Does not scale,,Low TCO,Competitor C,GSII,Faster release
OPP-FY26-0224,NORAM,Mid-Market,Company 224 - Data Platform Modernization,Prove,Owner 105,1,Q3 FY26,Data Platform Modernization,22751,,2026-05-28,2026-06-27,,,,,Company 224,,CIO,No,,No,Legacy expensive,Budget expires FY,Strong roadmap,Competitor A,None,Visibility
OPP-FY26-0225,LAC,Strategic Accounts,Company 225 - Data Platform Modernization,Commit,Owner 180,0,Q2 FY26,Data Platform Modernization,45109,,2026-03-26,,,,,,Company 225,,,Yes,,No,,,Best fit,Competitor C,Consulting Co,
OPP-FY26-0226,GP&A,SMB,Company 226 - DevOps & Automation,Prove,Owner 26,0,Q3 FY26,Analytics & Reporting,115078,Procurement alignment,2026-04-29,,,,,,Company 226,Parent Account 67,,No,No,Yes,Legacy expensive,,Best fit,Competitor C,None,
OPP-FY26-0227,GP&A,SMB,Company 227 - AI/ML Enablement,Prove,Owner 189,1,Q2 FY26,Security & Compliance,62228,Proposal review,2026-02-10,2026-03-26,,,,,Company 227,Parent Account 176,Head of Data,,No,No,,Renewal soon,Best fit,Internal Build,Partner Y,Security posture
OPP-FY26-0228,EMEA,Mid-Market,Company 228 - Cloud Cost Optimization,Prove,Owner 44,1,Q1 FY26,Customer 360 View,31362,Exec sponsor confirm,2025-10-13,2025-11-10,,,,,Company 228,Parent Account 184,Head of Data,No,,,,M&A drive,References match,Status Quo,Partner Y,Security posture
OPP-FY26-0229,APAC,SMB,Company 229 - Data Platform Modernization,Explore,Owner 159,1,Q2 FY26,AI/ML Enablement,38980,Procurement alignment,2026-01-16,2026-01-30,,,,,Company 229,,VP Eng,,,No,Reg risk,M&A drive,,Status Quo,Partner X,Visibility
OPP-FY26-0230,LAC,Enterprise,Company 230 - Cloud Cost Optimization,Prove,Owner 130,1,Q2 FY26,Customer 360 View,90017,Exec sponsor confirm,2026-01-29,2026-02-23,,,,,Company 230,Parent Account 102,Infra Lead,Yes,,No,,Exec mandate,,Competitor A,GSII,Visibility
OPP-FY26-0231,EMEA,Public Sector,Company 231 - Data Platform Modernization,Prove,Owner 43,3,Q3 FY26,Data Platform Modernization,38629,Exec sponsor confirm,2026-05-12,,2026-06-27,2026-07-27,,,Company 231,,Director IT,Yes,,,,,References match,Internal Build,Partner X,Faster release
OPP-FY26-0232,LAC,SMB,Company 232 - Customer 360 View,Commit,Owner 150,4,Q2 FY26,Security & Compliance,68177,Proposal review,2026-02-02,,,2026-04-19,152,,Company 232,Parent Account 2,Head of Data,Yes,,No,,Renewal soon,Low TCO,Competitor B,Partner X,Visibility
OPP-FY26-0233,GP&A,SMB,Company 233 - DevOps & Automation,Commit,Owner 146,3,Q2 FY26,Security & Compliance,61533,Deep dive,2026-01-25,2026-03-09,2026-03-29,2026-05-09,,,Company 233,Parent Account 13,Cloud Arch,No,Yes,,,,,Internal Build,GSII,
OPP-FY26-0234,GP&A,Strategic Accounts,Company 234 - AI/ML Enablement,Prove,Owner 69,3,Q3 FY26,Customer 360 View,40499,POC run,2026-04-24,,2026-06-15,2026-07-26,,,Company 234,Parent Account 24,Cloud Arch,No,No,,Does not scale,Budget expires FY,Best fit,Status Quo,None,
OPP-FY26-0235,LAC,Strategic Accounts,Company 235 - Data Platform Modernization,Commit,Owner 13,3,Q1 FY26,Customer 360 View,216721,POC run,2025-10-21,2025-11-23,2025-12-15,2025-12-27,,,Company 235,Parent Account 12,,No,No,No,Fragmented tools,,,Competitor B,Consulting Co,
OPP-FY26-0236,EMEA,SMB,Company 236 - Analytics & Reporting,Explore,Owner 55,2,Q1 FY26,Security & Compliance,87583,Procurement alignment,2025-12-20,2026-01-29,2026-03-02,,,,Company 236,Parent Account 155,VP Eng,Yes,,,Reg risk,M&A drive,,Status Quo,GSII,Faster release
OPP-FY26-0237,APAC,Enterprise,Company 237 - DevOps & Automation,Explore,Owner 7,0,Q1 FY26,Security & Compliance,17763,,2025-11-02,,,,,,Company 237,Parent Account 38,Infra Lead,,,,Legacy expensive,M&A drive,,Internal Build,None,
OPP-FY26-0238,LAC,Public Sector,Company 238 - DevOps & Automation,Commit,Owner 75,4,Q3 FY26,Cloud Cost Optimization,66961,Procurement alignment,2026-05-01,,2026-06-04,2026-06-28,91,,Company 238,Parent Account 125,Head of Data,,Yes,No,,M&A drive,Low TCO,Competitor C,Consulting Co,
OPP-FY26-0239,LAC,SMB,Company 239 - Customer 360 View,Commit,Owner 169,2,Q3 FY26,AI/ML Enablement,40252,Proposal review,2026-04-04,2026-04-19,2026-05-22,,,,Company 239,Parent Account 76,Infra Lead,No,No,Yes,Does not scale,Renewal soon,,Competitor B,None,
OPP-FY26-0240,EMEA,SMB,Company 240 - DevOps & Automation,Explore,Owner 45,3,Q3 FY26,Analytics & Reporting,99853,Deep dive,2026-05-30,,,2026-08-12,,,Company 240,,,Yes,Yes,Yes,,Exec mandate,Low TCO,Status Quo,GSII,Reduce Ops
OPP-FY26-0241,LAC,Enterprise,Company 241 - Analytics & Reporting,Commit,Owner 11,4,Q2 FY26,Customer 360 View,37215,Deep dive,2026-03-04,2026-04-18,2026-04-27,2026-05-03,119,,Company 241,Parent Account 162,CIO,,No,No,,,,Competitor B,Consulting Co,Faster release
OPP-FY26-0242,LAC,Mid-Market,Company 242 - Cloud Cost Optimization,Prove,Owner 96,0,Q1 FY26,DevOps & Automation,55890,Procurement alignment,2025-12-02,,,,,,Company 242,,VP Eng,,No,Yes,Reg risk,M&A drive,Strong roadmap,Internal Build,Partner Y,Visibility
OPP-FY26-0243,NORAM,Public Sector,Company 243 - Cloud Cost Optimization,Commit,Owner 183,4,Q3 FY26,Analytics & Reporting,81063,Procurement alignment,2026-05-30,2026-06-06,2026-06-14,2026-07-08,61,,Company 243,Parent Account 134,VP Eng,No,No,Yes,Legacy expensive,M&A drive,References match,Internal Build,Partner Y,
OPP-FY26-0244,NORAM,Enterprise,Company 244 - Cloud Cost Optimization,Commit,Owner 152,4,Q1 FY26,Data Platform Modernization,100654,Exec sponsor confirm,2025-12-25,,,2026-03-09,168,,Company 244,Parent Account 199,VP Eng,Yes,,,Fragmented tools,Renewal soon,Best fit,Status Quo,None,Reduce Ops
OPP-FY26-0245,APAC,SMB,Company 245 - Customer 360 View,Commit,Owner 50,2,Q2 FY26,Analytics & Reporting,29138,Exec sponsor confirm,2026-03-20,2026-04-28,2026-05-09,,,,Company 245,,,No,,No,,Renewal soon,References match,Status Quo,Consulting Co,Security posture
OPP-FY26-0246,LAC,Public Sector,Company 246 - Cloud Cost Optimization,Commit,Owner 55,3,Q2 FY26,AI/ML Enablement,48986,Implementation plan,2026-01-21,,,2026-04-07,,,Company 246,Parent Account 192,CTO,No,Yes,,Does not scale,Renewal soon,Low TCO,Competitor C,GSII,Security posture
OPP-FY26-0247,EMEA,SMB,Company 247 - Security & Compliance,Explore,Owner 190,1,Q1 FY26,AI/ML Enablement,45027,,2025-11-06,2025-12-16,,,,,Company 247,Parent Account 141,,Yes,No,No,Reg risk,Budget expires FY,References match,Internal Build,Partner Y,
OPP-FY26-0248,EMEA,Enterprise,Company 248 - Analytics & Reporting,Explore,Owner 182,4,Q2 FY26,Cloud Cost Optimization,40457,Implementation plan,2026-03-20,2026-05-01,2026-05-30,,79,,Company 248,Parent Account 198,Infra Lead,Yes,,Yes,Legacy expensive,,Best fit,Competitor C,Partner Y,Reduce Ops
OPP-FY26-0249,NORAM,Strategic Accounts,Company 249 - Cloud Cost Optimization,Commit,Owner 82,4,Q2 FY26,AI/ML Enablement,172693,Deep dive,2026-01-22,2026-01-30,,2026-04-18,142,,Company 249,Parent Account 30,CIO,,No,Yes,Reg risk,Renewal soon,,Competitor A,GSII,
OPP-FY26-0250,APAC,Enterprise,Company 250 - Security & Compliance,Explore,Owner 193,1,Q2 FY26,Customer 360 View,76342,POC run,2026-01-14,2026-02-06,,,,,Company 250,Parent Account 127,Head of Data,No,,No,Fragmented tools,M&A drive,,Status Quo,Partner X,Reduce Ops
OPP-FY26-0251,LAC,Mid-Market,Company 251 - Analytics & Reporting,Explore,Owner 96,1,Q1 FY26,Customer 360 View,28098,Procurement alignment,2025-12-17,2026-01-25,,,,,Company 251,,Cloud Arch,No,,No,Does not scale,,,Competitor C,Consulting Co,Security posture
OPP-FY26-0252,LAC,Public Sector,Company 252 - Cloud Cost Optimization,Prove,Owner 23,1,Q2 FY26,AI/ML Enablement,103851,,2026-02-27,2026-04-03,,,,,Company 252,Parent Account 36,Infra Lead,No,Yes,No,Does not scale,,,Internal Build,None,
OPP-FY26-0253,APAC,Mid-Market,Company 253 - AI/ML Enablement,Commit,Owner 179,1,Q2 FY26,DevOps & Automation,213906,Exec sponsor confirm,2026-03-15,2026-03-18,,,,,Company 253,Parent Account 101,,Yes,No,No,Reg risk,Exec mandate,,Competitor C,Partner Y,
OPP-FY26-0254,EMEA,Mid-Market,Company 254 - Cloud Cost Optimization,Commit,Owner 161,0,Q3 FY26,Data Platform Modernization,111243,POC run,2026-04-13,,,,,,Company 254,,CTO,No,,,,Exec mandate,,Competitor B,None,
OPP-FY26-0255,LAC,Mid-Market,Company 255 - Customer 360 View,Commit,Owner 71,1,Q3 FY26,Security & Compliance,24061,Proposal review,2026-04-09,2026-04-16,,,,,Company 255,,CIO,No,,No,Fragmented tools,Exec mandate,,Status Quo,Consulting Co,Faster release
OPP-FY26-0256,EMEA,Strategic Accounts,Company 256 - Customer 360 View,Prove,Owner 81,0,Q3 FY26,Cloud Cost Optimization,44777,,2026-05-15,,,,,,Company 256,Parent Account 86,CIO,Yes,Yes,No,,,,Internal Build,Partner X,Security posture
OPP-FY26-0257,APAC,SMB,Company 257 - Customer 360 View,Explore,Owner 19,1,Q1 FY26,Analytics & Reporting,128046,Proposal review,2025-10-28,2025-11-30,,,,,Company 257,Parent Account 113,,No,Yes,Yes,Fragmented tools,Renewal soon,,Status Quo,Consulting Co,
OPP-FY26-0258,GP&A,Strategic Accounts,Company 258 - Cloud Cost Optimization,Commit,Owner 193,0,Q2 FY26,AI/ML Enablement,39159,Deep dive,2026-02-21,,,,,,Company 258,Parent Account 154,Cloud Arch,Yes,No,Yes,Fragmented tools,Exec mandate,,Status Quo,Partner X,Reduce Ops
OPP-FY26-0259,GP&A,Public Sector,Company 259 - AI/ML Enablement,Explore,Owner 63,1,Q2 FY26,Security & Compliance,78142,POC run,2026-03-13,2026-04-17,,,,,Company 259,,,No,,,Does not scale,Exec mandate,Low TCO,Competitor B,Partner X,Reduce Ops
OPP-FY26-0260,GP&A,Strategic Accounts,Company 260 - Customer 360 View,Commit,Owner 85,4,Q3 FY26,Analytics & Reporting,95299,Deep dive,2026-05-08,2026-05-14,2026-06-13,,69,,Company 260,Parent Account 86,Head of Data,,No,Yes,Fragmented tools,Budget expires FY,,Competitor C,Consulting Co,Reduce Ops
OPP-FY26-0261,APAC,Public Sector,Company 261 - Cloud Cost Optimization,Explore,Owner 75,0,Q2 FY26,AI/ML Enablement,34332,,2026-01-01,,,,,,Company 261,Parent Account 150,Cloud Arch,,,No,Does not scale,,,Competitor C,Partner X,Visibility
OPP-FY26-0262,NORAM,SMB,Company 262 - AI/ML Enablement,Explore,Owner 95,1,Q2 FY26,Analytics & Reporting,57773,Deep dive,2026-01-06,2026-02-19,,,,,Company 262,Parent Account 44,Head of Data,No,,Yes,Legacy expensive,,References match,Competitor B,Partner X,Reduce Ops
OPP-FY26-0263,NORAM,Public Sector,Company 263 - Customer 360 View,Prove,Owner 54,2,Q3 FY26,DevOps & Automation,8563,Implementation plan,2026-04-21,,2026-05-26,,,,Company 263,Parent Account 121,Cloud Arch,,No,No,,Exec mandate,References match,Internal Build,Consulting Co,Security posture
OPP-FY26-0264,LAC,Mid-Market,Company 264 - Analytics & Reporting,Prove,Owner 66,4,Q2 FY26,Customer 360 View,32382,Procurement alignment,2026-03-16,2026-03-21,,,145,,Company 264,Parent Account 193,CIO,,Yes,No,Reg risk,Exec mandate,,Competitor A,Partner Y,
OPP-FY26-0265,LAC,Public Sector,Company 265 - Customer 360 View,Commit,Owner 21,0,Q1 FY26,Analytics & Reporting,51454,Deep dive,2025-12-31,,,,,,Company 265,Parent Account 59,,,,,,Budget expires FY,,Competitor C,GSII,Security posture
OPP-FY26-0266,NORAM,Mid-Market,Company 266 - DevOps & Automation,Commit,Owner 54,3,Q3 FY26,AI/ML Enablement,28320,Proposal review,2026-05-31,,2026-08-07,2026-09-20,,,Company 266,Parent Account 151,Cloud Arch,No,,Yes,Legacy expensive,,References match,Competitor A,GSII,Reduce Ops
OPP-FY26-0267,EMEA,SMB,Company 267 - Security & Compliance,Prove,Owner 109,1,Q1 FY26,DevOps & Automation,159443,Procurement alignment,2025-12-18,2025-12-21,,,,,Company 267,,Cloud Arch,No,Yes,Yes,Legacy expensive,Exec mandate,References match,Competitor B,Consulting Co,Visibility
OPP-FY26-0268,GP&A,SMB,Company 268 - Cloud Cost Optimization,Explore,Owner 27,1,Q2 FY26,DevOps & Automation,25385,POC run,2026-01-30,2026-02-08,,,,,Company 268,Parent Account 9,Cloud Arch,,,,,Renewal soon,Strong roadmap,Competitor B,GSII,Faster release
OPP-FY26-0269,APAC,Strategic Accounts,Company 269 - Analytics & Reporting,Explore,Owner 34,0,Q1 FY26,Analytics & Reporting,45980,Exec sponsor confirm,2025-11-03,,,,,,Company 269,Parent Account 111,Cloud Arch,,No,,Fragmented tools,,References match,Competitor B,None,Security posture
OPP-FY26-0270,EMEA,Strategic Accounts,Company 270 - Customer 360 View,Explore,Owner 107,3,Q2 FY26,Security & Compliance,64760,Procurement alignment,2026-01-26,2026-02-27,,2026-04-12,,,Company 270,Parent Account 159,Infra Lead,No,Yes,Yes,,,Strong roadmap,Competitor A,Partner Y,Faster release
OPP-FY26-0271,APAC,Strategic Accounts,Company 271 - Cloud Cost Optimization,Explore,Owner 164,4,Q1 FY26,DevOps & Automation,142167,,2025-11-01,2025-11-27,2025-12-04,2025-12-13,256,,Company 271,Parent Account 119,Director IT,No,,,,M&A drive,,Competitor B,Consulting Co,Reduce Ops
OPP-FY26-0272,EMEA,Enterprise,Company 272 - Customer 360 View,Commit,Owner 101,2,Q3 FY26,Security & Compliance,25298,,2026-05-04,2026-05-17,2026-05-30,,,,Company 272,Parent Account 196,CIO,Yes,,Yes,Legacy expensive,Renewal soon,Low TCO,Competitor C,Consulting Co,Visibility
OPP-FY26-0273,NORAM,SMB,Company 273 - Security & Compliance,Explore,Owner 24,0,Q3 FY26,Cloud Cost Optimization,120318,Procurement alignment,2026-04-16,,,,,,Company 273,Parent Account 4,VP Eng,,Yes,Yes,Fragmented tools,Renewal soon,Strong roadmap,Competitor B,None,Reduce Ops
OPP-FY26-0274,EMEA,Enterprise,Company 274 - AI/ML Enablement,Explore,Owner 118,3,Q3 FY26,Security & Compliance,60242,,2026-05-29,,2026-07-08,2026-07-25,,,Company 274,Parent Account 72,Infra Lead,,Yes,No,Fragmented tools,,Low TCO,Internal Build,Partner Y,
OPP-FY26-0275,LAC,Strategic Accounts,Company 275 - AI/ML Enablement,Commit,Owner 164,2,Q3 FY26,DevOps & Automation,33226,Deep dive,2026-05-06,,2026-07-23,,,,Company 275,Parent Account 151,Infra Lead,,,No,,Exec mandate,,Competitor B,Partner X,Reduce Ops
OPP-FY26-0276,EMEA,Enterprise,Company 276 - Security & Compliance,Commit,Owner 85,4,Q3 FY26,Data Platform Modernization,79004,Procurement alignment,2026-05-31,2026-07-01,2026-07-25,,36,,Company 276,Parent Account 139,CIO,Yes,Yes,No,Legacy expensive,,,Competitor B,Partner X,Reduce Ops
OPP-FY26-0277,NORAM,Mid-Market,Company 277 - Customer 360 View,Explore,Owner 110,1,Q1 FY26,DevOps & Automation,67469,Exec sponsor confirm,2025-10-24,2025-11-07,,,,,Company 277,Parent Account 43,,,,No,,,Strong roadmap,Competitor B,Consulting Co,Faster release
