opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-HIST-01054,NORAM,Enterprise,Company 2054 - Data Platform Modernization,Commit,Owner 89,Closed Lost,Q1 FY25,DevOps & Automation,33563,Procurement alignment,2024-11-22,,,2025-03-04,8,2025-04-20,Company 2054,Parent Account 167,CIO,No,No,Yes,,Budget expires FY,Best fit,Internal Build,Partner X,Security posture
OPP-HIST-01055,APAC,Public Sector,Company 2055 - Data Platform Modernization,Explore,Owner 158,Closed Won,Q3 FY24,Security & Compliance,51096,Implementation plan,2024-05-26,,2024-07-31,,45,2024-09-27,Company 2055,,Infra Lead,No,Yes,,Reg risk,,,Competitor A,GSII,Security posture
OPP-HIST-01056,GP&A,SMB,Company 2056 - AI/ML Enablement,Commit,Owner 154,Closed Won,Q2 FY25,AI/ML Enablement,77432,Implementation plan,2025-02-02,,,,17,2025-05-24,Company 2056,Parent Account 77,CIO,,No,,Legacy expensive,Budget expires FY,Low TCO,Competitor C,None,Faster release
OPP-HIST-01057,NORAM,Public Sector,Company 2057 - DevOps & Automation,Commit,Owner 105,Closed Won,Q3 FY24,Customer 360 View,113494,POC run,2024-04-25,,,2024-06-26,,2024-08-22,Company 2057,Parent Account 31,Infra Lead,No,,No,Reg risk,,References match,Status Quo,None,Reduce Ops
OPP-HIST-01058,NORAM,SMB,Company 2058 - DevOps & Automation,Prove,Owner 158,Closed Won,Q3 FY24,DevOps & Automation,34124,POC run,2024-04-16,2024-05-04,2024-05-10,2024-05-13,25,2024-06-22,Company 2058,,CIO,No,No,Yes,Legacy expensive,Budget expires FY,References match,Competitor B,GSII,Visibility
OPP-HIST-01059,APAC,Enterprise,Company 2059 - Security & Compliance,Prove,Owner 12,Closed Won,Q2 FY25,Cloud Cost Optimization,170225,Procurement alignment,2025-03-10,,2025-04-05,,38,2025-06-25,Company 2059,,Director IT,,No,,Fragmented tools,,,Competitor A,Partner X,
OPP-HIST-01060,LAC,Mid-Market,Company 2060 - Cloud Cost Optimization,Prove,Owner 170,Closed Won,Q2 FY25,Customer 360 View,49524,Proposal review,2025-03-25,2025-05-07,,,,2025-07-27,Company 2060,Parent Account 197,Director IT,No,No,No,Fragmented tools,Exec mandate,Low TCO,Status Quo,Partner Y,Reduce Ops
OPP-HIST-01061,NORAM,Public Sector,Company 2061 - Analytics & Reporting,Explore,Owner 131,Closed Won,Q2 FY25,Security & Compliance,58985,,2025-03-08,2025-04-08,,2025-06-03,43,2025-07-21,Company 2061,,CTO,No,Yes,No,,M&A drive,Low TCO,Status Quo,None,Reduce Ops
OPP-HIST-01062,GP&A,SMB,Company 2062 - Analytics & Reporting,Commit,Owner 116,Closed Lost,Q3 FY25,DevOps & Automation,35488,POC run,2025-05-11,2025-06-11,2025-06-15,2025-07-20,24,2025-09-25,Company 2062,,Head of Data,No,,,Reg risk,M&A drive,Best fit,Competitor B,Consulting Co,Reduce Ops
OPP-HIST-01063,GP&A,Mid-Market,Company 2063 - DevOps & Automation,Commit,Owner 95,Closed Lost,Q1 FY24,Analytics & Reporting,10971,POC run,2023-12-01,2023-12-21,2024-01-22,2024-02-12,45,2024-04-05,Company 2063,Parent Account 191,Infra Lead,,No,,,Exec mandate,References match,Status Quo,Partner Y,Visibility
OPP-HIST-01064,LAC,Public Sector,Company 2064 - Security & Compliance,Prove,Owner 176,Closed Won,Q3 FY25,AI/ML Enablement,111171,,2025-04-17,2025-04-30,2025-06-09,2025-07-24,24,2025-09-11,Company 2064,Parent Account 150,,Yes,Yes,Yes,,,Low TCO,Internal Build,GSII,
OPP-HIST-01065,LAC,Strategic Accounts,Company 2065 - Security & Compliance,Prove,Owner 52,Closed Lost,Q3 FY25,Data Platform Modernization,100286,Exec sponsor confirm,2025-05-16,,2025-07-13,2025-08-10,,2025-09-23,Company 2065,,Infra Lead,,Yes,No,,,,Competitor B,Partner Y,Visibility
OPP-HIST-01066,LAC,Public Sector,Company 2066 - Security & Compliance,Commit,Owner 12,Closed Lost,Q2 FY25,Analytics & Reporting,49171,POC run,2025-01-17,2025-02-17,,,,2025-04-20,Company 2066,Parent Account 133,Cloud Arch,,,,,Exec mandate,Low TCO,Competitor C,Partner X,Faster release
OPP-HIST-01067,EMEA,SMB,Company 2067 - Customer 360 View,Explore,Owner 107,Closed Lost,Q1 FY24,DevOps & Automation,62748,Proposal review,2023-10-23,2023-11-12,2023-12-11,,,2024-02-22,Company 2067,Parent Account 90,Infra Lead,,Yes,Yes,Does not scale,,References match,Competitor C,Partner Y,
OPP-HIST-01068,LAC,Strategic Accounts,Company 2068 - Analytics & Reporting,Commit,Owner 200,Closed Lost,Q3 FY25,AI/ML Enablement,85918,Procurement alignment,2025-05-05,2025-06-18,,,,2025-08-14,Company 2068,Parent Account 26,Cloud Arch,,,No,,Renewal soon,,Competitor A,None,Visibility
OPP-HIST-01069,APAC,Mid-Market,Company 2069 - Security & Compliance,Prove,Owner 22,Closed Won,Q1 FY24,Cloud Cost Optimization,20054,Implementation plan,2023-12-29,2024-01-05,2024-02-10,2024-03-01,,2024-04-02,Company 2069,Parent Account 168,,Yes,No,Yes,Does not scale,Renewal soon,Low TCO,Competitor B,Partner X,
OPP-HIST-01070,LAC,Strategic Accounts,Company 2070 - Data Platform Modernization,Prove,Owner 192,Closed Won,Q2 FY25,Cloud Cost Optimization,41343,,2025-01-07,,2025-02-10,2025-03-21,45,2025-05-17,Company 2070,,Cloud Arch,Yes,,,Fragmented tools,Budget expires FY,Low TCO,Status Quo,Partner Y,Security posture
OPP-HIST-01071,NORAM,Public Sector,Company 2071 - Analytics & Reporting,Explore,Owner 61,Closed Won,Q2 FY24,DevOps & Automation,104400,,2024-02-24,2024-03-03,2024-04-06,,10,2024-06-14,Company 2071,Parent Account 32,CTO,No,,,Reg risk,Exec mandate,Low TCO,Competitor A,None,
OPP-HIST-01072,GP&A,Public Sector,Company 2072 - Security & Compliance,Explore,Owner 103,Closed Won,Q2 FY25,AI/ML Enablement,24884,Proposal review,2025-03-20,2025-04-23,2025-05-01,,13,2025-07-21,Company 2072,Parent Account 125,CIO,No,No,No,Legacy expensive,,Best fit,Competitor C,Partner Y,
OPP-HIST-01073,LAC,SMB,Company 2073 - AI/ML Enablement,Prove,Owner 157,Closed Won,Q2 FY25,Data Platform Modernization,73533,Exec sponsor confirm,2025-02-20,2025-03-08,,2025-05-10,,2025-05-31,Company 2073,Parent Account 73,,No,,Yes,Does not scale,Renewal soon,,Competitor C,Partner Y,Reduce Ops
OPP-HIST-01074,LAC,Public Sector,Company 2074 - AI/ML Enablement,Prove,Owner 82,Closed Lost,Q1 FY25,AI/ML Enablement,23164,POC run,2024-12-08,,2025-01-19,2025-03-05,17,2025-04-28,Company 2074,Parent Account 140,,No,Yes,,,M&A drive,,Competitor B,Consulting Co,Faster release
OPP-HIST-01075,NORAM,Enterprise,Company 2075 - Data Platform Modernization,Prove,Owner 141,Closed Won,Q3 FY24,DevOps & Automation,82992,Proposal review,2024-05-09,2024-05-30,2024-07-07,,,2024-09-12,Company 2075,Parent Account 144,,,No,Yes,,Renewal soon,Best fit,Competitor A,Partner X,Security posture
OPP-HIST-01076,LAC,Enterprise,Company 2076 - Security & Compliance,Prove,Owner 23,Closed Won,Q1 FY24,Cloud Cost Optimization,58398,Exec sponsor confirm,2023-12-28,,,2024-03-29,16,2024-04-22,Company 2076,,CTO,Yes,No,Yes,Does not scale,Budget expires FY,,Competitor B,GSII,Visibility
OPP-HIST-01077,LAC,SMB,Company 2077 - Security & Compliance,Prove,Owner 98,Closed Won,Q2 FY25,Customer 360 View,19329,Deep dive,2025-01-28,2025-03-02,2025-04-15,2025-04-20,17,2025-05-10,Company 2077,Parent Account 144,Cloud Arch,Yes,Yes,Yes,Fragmented tools,Budget expires FY,References match,Competitor A,Partner X,Faster release
OPP-HIST-01078,NORAM,Strategic Accounts,Company 2078 - Security & Compliance,Commit,Owner 89,Closed Won,Q1 FY24,Analytics & Reporting,135309,Exec sponsor confirm,2023-12-11,2023-12-21,2023-12-30,,,2024-03-06,Company 2078,Parent Account 81,Head of Data,No,,Yes,Reg risk,M&A drive,Low TCO,Competitor B,None,Security posture
OPP-HIST-01079,APAC,Enterprise,Company 2079 - Security & Compliance,Prove,Owner 49,Closed Won,Q2 FY25,AI/ML Enablement,35802,Deep dive,2025-03-02,2025-03-25,2025-04-28,2025-05-06,,2025-07-07,Company 2079,,VP Eng,Yes,,,Does not scale,Renewal soon,References match,Competitor A,GSII,Reduce Ops
OPP-HIST-01080,LAC,Enterprise,Company 2080 - Customer 360 View,Explore,Owner 186,Closed Lost,Q1 FY24,Data Platform Modernization,33956,POC run,2023-10-29,,2023-11-29,2023-12-21,10,2024-01-12,Company 2080,Parent Account 86,CIO,Yes,No,Yes,,M&A drive,Low TCO,Competitor A,Partner X,Visibility
OPP-HIST-01081,LAC,SMB,Company 2081 - Cloud Cost Optimization,Commit,Owner 132,Closed Won,Q1 FY25,DevOps & Automation,68899,POC run,2024-10-02,,,,14,2025-01-22,Company 2081,Parent Account 129,Infra Lead,,No,No,Legacy expensive,Renewal soon,,Status Quo,GSII,
OPP-HIST-01082,APAC,Public Sector,Company 2082 - Customer 360 View,Commit,Owner 56,Closed Won,Q2 FY25,Security & Compliance,133792,Procurement alignment,2025-03-07,2025-03-27,,,41,2025-06-23,Company 2082,Parent Account 121,Head of Data,Yes,,Yes,Reg risk,Exec mandate,Low TCO,Internal Build,GSII,Visibility
OPP-HIST-01083,APAC,Public Sector,Company 2083 - AI/ML Enablement,Prove,Owner 56,Closed Lost,Q2 FY24,Data Platform Modernization,29405,POC run,2024-01-23,2024-02-02,2024-02-08,,31,2024-04-27,Company 2083,Parent Account 91,Infra Lead,Yes,Yes,No,,,References match,Competitor A,Partner Y,Faster release
OPP-HIST-01084,LAC,Strategic Accounts,Company 2084 - Cloud Cost Optimization,Commit,Owner 56,Closed Won,Q1 FY25,AI/ML Enablement,62515,,2024-11-01,2024-11-04,2024-12-07,2025-01-19,38,2025-04-10,Company 2084,Parent Account 135,CIO,,Yes,,,M&A drive,Low TCO,Competitor A,None,Visibility
OPP-HIST-01085,EMEA,Public Sector,Company 2085 - AI/ML Enablement,Prove,Owner 81,Closed Lost,Q1 FY25,Cloud Cost Optimization,80835,Implementation plan,2024-12-08,2024-12-30,2025-01-10,2025-01-29,,2025-03-29,Company 2085,Parent Account 66,VP Eng,No,No,,,Renewal soon,Low TCO,Competitor C,Partner X,Visibility
OPP-HIST-01086,LAC,Strategic Accounts,Company 2086 - Analytics & Reporting,Commit,Owner 56,Closed Won,Q1 FY25,AI/ML Enablement,97262,Proposal review,2024-12-16,2025-01-07,2025-02-15,2025-03-17,44,2025-05-13,Company 2086,,Director IT,No,Yes,,,Exec mandate,,Competitor C,None,
OPP-HIST-01087,APAC,Public Sector,Company 2087 - Security & Compliance,Explore,Owner 118,Closed Won,Q2 FY24,Analytics & Reporting,67745,Implementation plan,2024-01-03,2024-01-09,2024-02-11,2024-03-13,17,2024-05-07,Company 2087,,Director IT,Yes,,No,,M&A drive,Low TCO,Competitor B,Partner Y,
OPP-HIST-01088,NORAM,Enterprise,Company 2088 - Cloud Cost Optimization,Explore,Owner 84,Closed Won,Q3 FY24,Cloud Cost Optimization,46308,Proposal review,2024-04-21,2024-05-10,2024-05-21,2024-06-21,,2024-07-02,Company 2088,Parent Account 186,Director IT,,,,Fragmented tools,Exec mandate,Best fit,Internal Build,Partner Y,Faster release
OPP-HIST-01089,LAC,Strategic Accounts,Company 2089 - Data Platform Modernization,Prove,Owner 134,Closed Lost,Q3 FY25,Analytics & Reporting,33546,Implementation plan,2025-04-17,2025-05-22,2025-06-10,,,2025-08-22,Company 2089,Parent Account 99,CTO,Yes,Yes,,Fragmented tools,Renewal soon,Low TCO,Competitor C,GSII,Faster release
OPP-HIST-01090,APAC,Strategic Accounts,Company 2090 - Customer 360 View,Commit,Owner 19,Closed Lost,Q2 FY25,Data Platform Modernization,63595,,2025-03-22,,2025-04-10,2025-05-06,14,2025-05-29,Company 2090,,Infra Lead,No,No,,Legacy expensive,,Low TCO,Competitor A,Partner Y,Security posture
OPP-HIST-01091,APAC,Enterprise,Company 2091 - Security & Compliance,Explore,Owner 75,Closed Won,Q2 FY25,Security & Compliance,28268,Proposal review,2025-01-31,2025-02-20,2025-03-02,2025-04-14,24,2025-06-08,Company 2091,Parent Account 116,CIO,No,Yes,Yes,Does not scale,M&A drive,Best fit,Competitor A,Partner X,
OPP-HIST-01092,APAC,Enterprise,Company 2092 - AI/ML Enablement,Commit,Owner 63,Closed Won,Q1 FY25,Cloud Cost Optimization,7746,,2024-11-11,2024-12-12,2024-12-15,2025-01-26,16,2025-03-23,Company 2092,Parent Account 157,,No,Yes,Yes,Fragmented tools,Exec mandate,References match,Internal Build,GSII,
OPP-HIST-01093,LAC,Enterprise,Company 2093 - Security & Compliance,Prove,Owner 55,Closed Won,Q2 FY25,Data Platform Modernization,81274,Exec sponsor confirm,2025-03-02,,2025-04-12,2025-05-15,,2025-07-11,Company 2093,Parent Account 140,Head of Data,Yes,No,No,Reg risk,Exec mandate,Strong roadmap,Competitor B,None,Visibility
OPP-HIST-01094,GP&A,Enterprise,Company 2094 - DevOps & Automation,Commit,Owner 68,Closed Lost,Q1 FY24,Customer 360 View,112730,Deep dive,2023-10-19,,,2024-01-05,18,2024-02-16,Company 2094,Parent Account 31,Head of Data,Yes,No,No,Does not scale,Exec mandate,References match,Competitor C,GSII,
OPP-HIST-01095,NORAM,Public Sector,Company 2095 - Cloud Cost Optimization,Prove,Owner 60,Closed Won,Q1 FY24,AI/ML Enablement,11452,,2023-10-31,2023-12-13,,,42,2024-04-02,Company 2095,Parent Account 73,Infra Lead,Yes,No,No,Legacy expensive,Renewal soon,,Competitor A,Consulting Co,Faster release
OPP-HIST-01096,APAC,Strategic Accounts,Company 2096 - Data Platform Modernization,Explore,Owner 145,Closed Won,Q1 FY25,Analytics & Reporting,29530,Exec sponsor confirm,2024-11-25,,2025-01-12,2025-02-13,,2025-03-27,Company 2096,Parent Account 195,Infra Lead,Yes,Yes,Yes,Legacy expensive,,Best fit,Competitor C,None,Security posture
OPP-HIST-01097,APAC,Strategic Accounts,Company 2097 - DevOps & Automation,Prove,Owner 42,Closed Lost,Q2 FY24,DevOps & Automation,92356,Implementation plan,2024-01-09,,,2024-03-19,8,2024-04-05,Company 2097,Parent Account 59,Cloud Arch,Yes,,No,,Exec mandate,References match,Competitor A,Partner X,Security posture
OPP-HIST-01098,LAC,Public Sector,Company 2098 - Data Platform Modernization,Commit,Owner 26,Closed Won,Q1 FY25,Cloud Cost Optimization,252772,Deep dive,2024-12-02,2025-01-08,,,,2025-04-04,Company 2098,Parent Account 14,VP Eng,,,Yes,,,Strong roadmap,Internal Build,Consulting Co,Faster release
OPP-HIST-01099,APAC,Public Sector,Company 2099 - DevOps & Automation,Prove,Owner 125,Closed Won,Q1 FY25,Data Platform Modernization,60752,Implementation plan,2024-10-12,2024-11-09,2024-12-15,2024-12-30,,2025-02-19,Company 2099,Parent Account 76,Head of Data,Yes,No,,Legacy expensive,,Best fit,Competitor C,Partner Y,Faster release
OPP-HIST-01100,LAC,Mid-Market,Company 2100 - Security & Compliance,Explore,Owner 19,Closed Lost,Q2 FY24,Analytics & Reporting,35968,,2024-02-26,2024-03-14,2024-04-15,,,2024-06-23,Company 2100,Parent Account 194,Infra Lead,Yes,No,,Reg risk,Exec mandate,Strong roadmap,Competitor B,Consulting Co,Security posture
OPP-HIST-01101,LAC,Mid-Market,Company 2101 - Analytics & Reporting,Commit,Owner 137,Closed Lost,Q2 FY24,AI/ML Enablement,52679,Proposal review,2024-02-11,,2024-03-26,,13,2024-05-16,Company 2101,Parent Account 136,,No,No,Yes,Does not scale,,Best fit,Internal Build,Partner X,Security posture
OPP-HIST-01102,EMEA,Enterprise,Company 2102 - Security & Compliance,Commit,Owner 159,Closed Lost,Q2 FY25,Analytics & Reporting,156750,,2025-01-19,2025-02-05,2025-03-21,,,2025-05-27,Company 2102,,Director IT,Yes,No,,Does not scale,Renewal soon,Low TCO,Competitor C,Partner Y,Security posture
OPP-HIST-01103,LAC,SMB,Company 2103 - Analytics & Reporting,Explore,Owner 83,Closed Lost,Q1 FY24,Customer 360 View,38094,Exec sponsor confirm,2023-12-12,2024-01-24,,,22,2024-03-22,Company 2103,Parent Account 42,CTO,Yes,Yes,No,Does not scale,Exec mandate,References match,Competitor B,Partner X,Security posture
OPP-HIST-01104,GP&A,SMB,Company 2104 - Cloud Cost Optimization,Prove,Owner 87,Closed Won,Q1 FY25,Analytics & Reporting,34220,Procurement alignment,2024-10-26,,2024-11-26,2024-12-19,,2025-03-12,Company 2104,Parent Account 105,Infra Lead,No,,,,Renewal soon,,Internal Build,None,Security posture
OPP-HIST-01105,EMEA,Mid-Market,Company 2105 - Security & Compliance,Prove,Owner 23,Closed Won,Q3 FY24,Cloud Cost Optimization,42705,Procurement alignment,2024-05-12,2024-05-23,2024-06-14,2024-06-21,,2024-08-04,Company 2105,,CIO,Yes,No,Yes,,,Low TCO,Competitor C,Consulting Co,Security posture
OPP-HIST-01106,APAC,Mid-Market,Company 2106 - Data Platform Modernization,Prove,Owner 178,Closed Won,Q1 FY24,Data Platform Modernization,30720,,2023-12-20,2024-01-22,,,40,2024-05-19,Company 2106,,Director IT,Yes,Yes,No,Does not scale,Budget expires FY,,Competitor C,Partner Y,Security posture
OPP-HIST-01107,APAC,Strategic Accounts,Company 2107 - Analytics & Reporting,Commit,Owner 45,Closed Lost,Q1 FY24,Security & Compliance,65242,,2023-11-14,2023-12-11,2024-01-22,2024-01-31,23,2024-04-06,Company 2107,Parent Account 193,Cloud Arch,Yes,No,No,,Exec mandate,Strong roadmap,Status Quo,Consulting Co,Security posture
OPP-HIST-01108,LAC,SMB,Company 2108 - Data Platform Modernization,Explore,Owner 40,Closed Lost,Q1 FY24,Customer 360 View,186703,Deep dive,2023-11-14,2023-12-23,2024-02-05,2024-02-09,35,2024-03-30,Company 2108,Parent Account 178,CTO,No,,No,Reg risk,,,Competitor B,Consulting Co,Reduce Ops
OPP-HIST-01109,LAC,Strategic Accounts,Company 2109 - Customer 360 View,Explore,Owner 108,Closed Lost,Q3 FY25,DevOps & Automation,75068,Implementation plan,2025-05-03,2025-06-02,,2025-07-13,,2025-08-11,Company 2109,,CTO,No,,,,Renewal soon,,Competitor C,None,Reduce Ops
OPP-HIST-01110,LAC,Mid-Market,Company 2110 - Customer 360 View,Commit,Owner 165,Closed Won,Q3 FY25,Data Platform Modernization,50179,Procurement alignment,2025-04-02,,,,12,2025-06-29,Company 2110,,Head of Data,No,Yes,,,Exec mandate,,Status Quo,None,
OPP-HIST-01111,NORAM,Enterprise,Company 2111 - Analytics & Reporting,Prove,Owner 89,Closed Lost,Q1 FY25,Analytics & Reporting,48812,Implementation plan,2024-10-25,,,2025-01-11,10,2025-02-02,Company 2111,Parent Account 115,CTO,Yes,No,No,,Budget expires FY,,Competitor B,Consulting Co,Security posture
OPP-HIST-01112,APAC,Public Sector,Company 2112 - Security & Compliance,Explore,Owner 164,Closed Lost,Q2 FY25,AI/ML Enablement,20045,Deep dive,2025-03-15,2025-03-21,,,20,2025-07-02,Company 2112,Parent Account 112,Infra Lead,No,No,No,Fragmented tools,Exec mandate,,Competitor C,Partner Y,Reduce Ops
OPP-HIST-01113,GP&A,Enterprise,Company 2113 - Customer 360 View,Explore,Owner 119,Closed Won,Q1 FY25,Security & Compliance,111098,Implementation plan,2024-10-10,2024-10-24,,2024-12-18,21,2025-02-17,Company 2113,,CIO,,Yes,,Does not scale,M&A drive,Low TCO,Competitor B,Consulting Co,
OPP-HIST-01114,EMEA,Enterprise,Company 2114 - Cloud Cost Optimization,Prove,Owner 117,Closed Lost,Q3 FY24,Analytics & Reporting,56699,POC run,2024-04-04,2024-04-08,2024-04-15,2024-04-25,23,2024-06-18,Company 2114,Parent Account 178,Head of Data,Yes,No,No,Reg risk,,Best fit,Status Quo,Partner Y,Reduce Ops
OPP-HIST-01115,APAC,Mid-Market,Company 2115 - Customer 360 View,Commit,Owner 50,Closed Won,Q3 FY25,Analytics & Reporting,52768,POC run,2025-05-24,,2025-07-04,2025-07-20,,2025-08-28,Company 2115,,Head of Data,,,Yes,Legacy expensive,,Strong roadmap,Competitor A,GSII,Visibility
OPP-HIST-01116,LAC,Public Sector,Company 2116 - Security & Compliance,Commit,Owner 61,Closed Lost,Q2 FY25,Security & Compliance,559710,Procurement alignment,2025-03-29,,,2025-07-11,17,2025-08-29,Company 2116,,CIO,,No,No,Legacy expensive,Budget expires FY,References match,Status Quo,GSII,Faster release
OPP-HIST-01117,EMEA,Mid-Market,Company 2117 - AI/ML Enablement,Explore,Owner 83,Closed Lost,Q2 FY24,AI/ML Enablement,73800,,2024-01-06,2024-02-17,2024-03-25,,20,2024-06-01,Company 2117,Parent Account 189,CIO,Yes,Yes,,,Budget expires FY,References match,Competitor B,Consulting Co,
OPP-HIST-01118,NORAM,Public Sector,Company 2118 - Security & Compliance,Prove,Owner 119,Closed Lost,Q3 FY25,Analytics & Reporting,35374,Implementation plan,2025-05-04,,,,,2025-09-03,Company 2118,Parent Account 150,,No,No,,Does not scale,Exec mandate,,Competitor A,None,Faster release
OPP-HIST-01119,LAC,Mid-Market,Company 2119 - Customer 360 View,Explore,Owner 196,Closed Lost,Q2 FY24,AI/ML Enablement,44424,Procurement alignment,2024-03-25,2024-05-08,,2024-07-14,30,2024-09-25,Company 2119,,Director IT,No,Yes,,,M&A drive,References match,Competitor A,None,Reduce Ops
OPP-HIST-01120,APAC,Public Sector,Company 2120 - Security & Compliance,Explore,Owner 160,Closed Won,Q2 FY24,Security & Compliance,133774,Deep dive,2024-03-12,2024-03-31,,2024-05-17,,2024-07-27,Company 2120,Parent Account 67,Infra Lead,No,No,No,Reg risk,M&A drive,References match,Competitor B,GSII,Security posture
OPP-HIST-01121,NORAM,Enterprise,Company 2121 - DevOps & Automation,Prove,Owner 31,Closed Won,Q3 FY25,AI/ML Enablement,64814,Exec sponsor confirm,2025-04-05,2025-05-07,2025-05-14,2025-06-15,4,2025-07-11,Company 2121,Parent Account 137,Cloud Arch,No,Yes,Yes,Reg risk,M&A drive,,Competitor A,Partner Y,Visibility
OPP-HIST-01122,APAC,Public Sector,Company 2122 - Security & Compliance,Explore,Owner 82,Closed Lost,Q1 FY25,Security & Compliance,21877,Proposal review,2024-11-25,2024-12-18,,2025-02-04,30,2025-04-01,Company 2122,,Cloud Arch,No,No,Yes,,Renewal soon,Strong roadmap,Competitor B,Partner X,Visibility
OPP-HIST-01123,GP&A,Public Sector,Company 2123 - Security & Compliance,Explore,Owner 50,Closed Won,Q2 FY24,AI/ML Enablement,113943,Procurement alignment,2024-02-22,,,2024-04-19,44,2024-07-07,Company 2123,Parent Account 191,,Yes,No,Yes,Does not scale,Exec mandate,Low TCO,Internal Build,Consulting Co,Visibility
OPP-HIST-01124,LAC,SMB,Company 2124 - Cloud Cost Optimization,Prove,Owner 104,Closed Lost,Q1 FY25,Analytics & Reporting,37507,,2024-10-18,2024-11-29,2024-12-11,2024-12-14,20,2025-02-07,Company 2124,Parent Account 163,Cloud Arch,Yes,Yes,,Reg risk,Budget expires FY,,Competitor C,Consulting Co,
OPP-HIST-01125,LAC,SMB,Company 2125 - Data Platform Modernization,Commit,Owner 4,Closed Won,Q1 FY25,DevOps & Automation,222194,POC run,2024-12-26,2025-02-06,,2025-03-06,13,2025-05-03,Company 2125,Parent Account 148,VP Eng,No,No,,Reg risk,M&A drive,Low TCO,Competitor C,Partner X,
OPP-HIST-01126,NORAM,Mid-Market,Company 2126 - Customer 360 View,Commit,Owner 29,Closed Lost,Q2 FY24,AI/ML Enablement,127520,Procurement alignment,2024-01-18,,2024-02-29,2024-04-02,22,2024-06-05,Company 2126,Parent Account 4,CTO,No,No,Yes,Legacy expensive,Exec mandate,Low TCO,Competitor C,None,Security posture
OPP-HIST-01127,NORAM,SMB,Company 2127 - Cloud Cost Optimization,Explore,Owner 170,Closed Lost,Q2 FY24,Analytics & Reporting,43777,Proposal review,2024-03-12,,2024-05-10,2024-05-24,37,2024-07-11,Company 2127,Parent Account 131,Infra Lead,No,Yes,No,Fragmented tools,,Low TCO,Status Quo,Partner Y,Visibility
OPP-HIST-01128,GP&A,Enterprise,Company 2128 - Analytics & Reporting,Explore,Owner 108,Closed Lost,Q3 FY24,Cloud Cost Optimization,146783,Procurement alignment,2024-05-10,2024-05-17,2024-05-22,,23,2024-08-09,Company 2128,Parent Account 183,Head of Data,No,,No,Reg risk,Renewal soon,References match,Competitor A,None,Faster release
OPP-HIST-01129,LAC,SMB,Company 2129 - Data Platform Modernization,Prove,Owner 119,Closed Lost,Q2 FY24,AI/ML Enablement,62786,Implementation plan,2024-02-18,2024-03-24,2024-05-01,2024-06-01,,2024-08-05,Company 2129,,,Yes,No,Yes,Does not scale,Exec mandate,Best fit,Internal Build,GSII,
OPP-HIST-01130,GP&A,Public Sector,Company 2130 - Customer 360 View,Commit,Owner 21,Closed Won,Q3 FY25,Analytics & Reporting,108764,,2025-04-04,2025-04-27,2025-05-27,2025-06-22,33,2025-08-06,Company 2130,Parent Account 116,Cloud Arch,,,Yes,Reg risk,Exec mandate,,Internal Build,GSII,Reduce Ops
OPP-HIST-01131,NORAM,SMB,Company 2131 - Analytics & Reporting,Prove,Owner 131,Closed Lost,Q1 FY24,Customer 360 View,84062,Exec sponsor confirm,2023-12-25,,2024-02-24,,,2024-05-21,Company 2131,Parent Account 129,Cloud Arch,Yes,No,,Reg risk,,,Status Quo,Partner X,
OPP-HIST-01132,LAC,Public Sector,Company 2132 - Cloud Cost Optimization,Prove,Owner 37,Closed Lost,Q1 FY24,DevOps & Automation,33108,POC run,2023-11-12,2023-12-11,2024-01-08,2024-02-06,32,2024-03-17,Company 2132,Parent Account 106,,No,Yes,,Fragmented tools,Budget expires FY,References match,Status Quo,Partner Y,
OPP-HIST-01133,APAC,Strategic Accounts,Company 2133 - DevOps & Automation,Explore,Owner 30,Closed Lost,Q3 FY25,AI/ML Enablement,38158,,2025-05-10,,2025-07-05,2025-07-15,,2025-08-24,Company 2133,,VP Eng,Yes,No,No,Fragmented tools,,,Competitor B,Partner Y,
OPP-HIST-01134,EMEA,Enterprise,Company 2134 - Data Platform Modernization,Explore,Owner 98,Closed Lost,Q2 FY24,Customer 360 View,123127,Implementation plan,2024-03-23,,2024-04-29,,27,2024-08-09,Company 2134,,Director IT,Yes,Yes,No,Legacy expensive,Budget expires FY,,Status Quo,GSII,
OPP-HIST-01135,LAC,Public Sector,Company 2135 - Data Platform Modernization,Explore,Owner 83,Closed Won,Q3 FY24,Data Platform Modernization,47365,Deep dive,2024-05-23,,2024-07-31,2024-09-14,7,2024-09-25,Company 2135,Parent Account 61,,No,,No,Does not scale,,Best fit,Competitor A,Partner X,
OPP-HIST-01136,APAC,Mid-Market,Company 2136 - Cloud Cost Optimization,Explore,Owner 9,Closed Lost,Q2 FY25,AI/ML Enablement,45136,POC run,2025-02-07,2025-03-16,,2025-06-02,43,2025-07-18,Company 2136,Parent Account 156,Director IT,,Yes,No,Legacy expensive,Exec mandate,References match,Competitor B,Partner Y,Visibility
