opportunity number,field / event,Old value,New Value,edit date
OPP-HIST-00838,Next Steps,Deep dive,Deep dive - follow up,2024-03-12
OPP-HIST-00838,Next Steps,Deep dive - follow up,POC run,2024-03-25
OPP-HIST-00839,Next Steps,,POC run,2024-02-06
OPP-HIST-00839,Next Steps,POC run,POC run - follow up,2024-03-15
OPP-HIST-00839,Next Steps,POC run - follow up,POC run - follow up - update,2024-03-31
OPP-HIST-00839,Next Steps,POC run - follow up - update,Proposal review,2024-04-23
OPP-HIST-00840,Next Steps,,Exec sponsor confirm,2024-03-15
OPP-HIST-00841,Next Steps,Implementation plan,Implementation plan - update,2024-12-03
OPP-HIST-00841,Next Steps,Implementation plan - update,Implementation plan - update (no change),2025-01-02
OPP-HIST-00841,Next Steps,Implementation plan - update (no change),Deep dive,2025-01-08
OPP-HIST-00841,Next Steps,Deep dive,Deep dive - follow up,2025-02-03
OPP-HIST-00843,Next Steps,Implementation plan,POC run,2024-05-28
OPP-HIST-00843,Next Steps,POC run,Exec sponsor confirm,2024-06-06
OPP-HIST-00843,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-07-02
OPP-HIST-00843,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending (no change),2024-08-11
OPP-HIST-00844,Next Steps,Proposal review,Procurement alignment,2024-10-21
OPP-HIST-00844,Next Steps,Procurement alignment,Procurement alignment - pending,2024-11-27
OPP-HIST-00845,Next Steps,POC run,POC run (no change),2024-02-24
OPP-HIST-00845,Next Steps,POC run (no change),Implementation plan,2024-03-24
OPP-HIST-00845,Next Steps,Implementation plan,Procurement alignment,2024-04-22
OPP-HIST-00845,Next Steps,Procurement alignment,Procurement alignment - minor,2024-05-29
OPP-HIST-00846,Next Steps,,POC run,2023-11-10
OPP-HIST-00846,Next Steps,POC run,Deep dive,2023-12-04
OPP-HIST-00846,Next Steps,Deep dive,Deep dive - minor,2023-12-24
OPP-HIST-00846,Next Steps,Deep dive - minor,Deep dive - minor - pending,2024-01-18
OPP-HIST-00847,Next Steps,Exec sponsor confirm,Exec sponsor confirm,2024-03-20
OPP-HIST-00847,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2024-04-27
OPP-HIST-00847,Next Steps,Exec sponsor confirm - update,Exec sponsor confirm - update - follow up,2024-05-01
OPP-HIST-00847,Next Steps,Exec sponsor confirm - update - follow up,Exec sponsor confirm,2024-06-06
OPP-HIST-00847,Next Steps,Exec sponsor confirm,Deep dive,2024-06-13
OPP-HIST-00848,Next Steps,Procurement alignment,Exec sponsor confirm,2025-05-27
OPP-HIST-00849,Next Steps,Implementation plan,Implementation plan - follow up,2024-03-14
OPP-HIST-00849,Next Steps,Implementation plan - follow up,Implementation plan - follow up - update,2024-03-21
OPP-HIST-00849,Next Steps,Implementation plan - follow up - update,Implementation plan,2024-04-03
OPP-HIST-00850,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2025-06-23
OPP-HIST-00850,Next Steps,Exec sponsor confirm - update,Exec sponsor confirm - update - minor,2025-07-30
OPP-HIST-00850,Next Steps,Exec sponsor confirm - update - minor,Implementation plan,2025-08-24
OPP-HIST-00851,Next Steps,Deep dive,Deep dive - update,2024-01-22
OPP-HIST-00851,Next Steps,Deep dive - update,Deep dive - update - minor,2024-01-26
OPP-HIST-00851,Next Steps,Deep dive - update - minor,Deep dive - update - minor (no change),2024-02-14
OPP-HIST-00851,Next Steps,Deep dive - update - minor (no change),Deep dive - update - minor (no change) - minor,2024-03-23
OPP-HIST-00852,Next Steps,Deep dive,Deep dive (no change),2023-11-22
OPP-HIST-00854,Next Steps,Deep dive,Deep dive - minor,2025-05-15
OPP-HIST-00855,Next Steps,,Procurement alignment,2024-04-01
OPP-HIST-00856,Next Steps,Implementation plan,Exec sponsor confirm,2025-03-14
OPP-HIST-00856,Next Steps,Exec sponsor confirm,Implementation plan,2025-03-23
OPP-HIST-00857,Next Steps,,Proposal review,2025-04-16
OPP-HIST-00857,Next Steps,Proposal review,Proposal review - update,2025-05-22
OPP-HIST-00858,Next Steps,POC run,POC run (no change),2023-12-27
OPP-HIST-00858,Next Steps,POC run (no change),POC run (no change) - update,2024-02-05
OPP-HIST-00859,Next Steps,Proposal review,Implementation plan,2025-04-24
OPP-HIST-00860,Next Steps,Exec sponsor confirm,Proposal review,2024-03-17
OPP-HIST-00860,Next Steps,Proposal review,Implementation plan,2024-04-06
OPP-HIST-00860,Next Steps,Implementation plan,Implementation plan (no change),2024-05-05
OPP-HIST-00860,Next Steps,Implementation plan (no change),Implementation plan (no change) - update,2024-05-16
OPP-HIST-00860,Next Steps,Implementation plan (no change) - update,Deep dive,2024-05-15
OPP-HIST-00861,Next Steps,Implementation plan,Procurement alignment,2024-01-28
OPP-HIST-00862,Next Steps,Exec sponsor confirm,Procurement alignment,2024-11-19
OPP-HIST-00862,Next Steps,Procurement alignment,Procurement alignment - minor,2024-12-22
OPP-HIST-00862,Next Steps,Procurement alignment - minor,Procurement alignment - minor - minor,2025-01-05
OPP-HIST-00864,Next Steps,Deep dive,Procurement alignment,2025-04-27
OPP-HIST-00866,Next Steps,Proposal review,Implementation plan,2024-12-28
OPP-HIST-00866,Next Steps,Implementation plan,Implementation plan - pending,2025-01-28
OPP-HIST-00866,Next Steps,Implementation plan - pending,Implementation plan - pending - update,2025-02-03
OPP-HIST-00866,Next Steps,Implementation plan - pending - update,Exec sponsor confirm,2025-03-12
OPP-HIST-00866,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2025-03-21
OPP-HIST-00867,Next Steps,Procurement alignment,Implementation plan,2024-11-05
OPP-HIST-00868,Next Steps,Procurement alignment,Procurement alignment - follow up,2025-05-06
OPP-HIST-00868,Next Steps,Procurement alignment - follow up,Procurement alignment - follow up - update,2025-05-20
OPP-HIST-00868,Next Steps,Procurement alignment - follow up - update,Procurement alignment,2025-06-14
OPP-HIST-00871,Next Steps,Deep dive,Exec sponsor confirm,2024-05-26
OPP-HIST-00872,Next Steps,,Procurement alignment,2025-06-18
OPP-HIST-00872,Next Steps,Procurement alignment,POC run,2025-07-05
OPP-HIST-00873,Next Steps,Deep dive,Deep dive,2024-01-26
OPP-HIST-00873,Next Steps,Deep dive,Deep dive (no change),2024-02-11
OPP-HIST-00874,Next Steps,POC run,POC run - update,2024-01-07
OPP-HIST-00874,Next Steps,POC run - update,Implementation plan,2024-01-27
OPP-HIST-00874,Next Steps,Implementation plan,Implementation plan (no change),2024-02-27
OPP-HIST-00874,Next Steps,Implementation plan (no change),Implementation plan (no change) - minor,2024-03-29
OPP-HIST-00875,Next Steps,Procurement alignment,Procurement alignment - minor,2024-12-24
OPP-HIST-00875,Next Steps,Procurement alignment - minor,POC run,2025-01-27
OPP-HIST-00875,Next Steps,POC run,POC run,2025-02-01
OPP-HIST-00875,Next Steps,POC run,POC run - minor,2025-02-24
OPP-HIST-00876,Next Steps,POC run,POC run - minor,2024-04-20
OPP-HIST-00876,Next Steps,POC run - minor,POC run - minor - pending,2024-05-08
OPP-HIST-00876,Next Steps,POC run - minor - pending,POC run - minor - pending - follow up,2024-06-12
OPP-HIST-00877,Next Steps,Deep dive,Deep dive - follow up,2025-01-23
OPP-HIST-00878,Next Steps,,Procurement alignment,2024-10-31
OPP-HIST-00878,Next Steps,Procurement alignment,Implementation plan,2024-11-16
OPP-HIST-00878,Next Steps,Implementation plan,Implementation plan - update,2024-12-13
OPP-HIST-00879,Next Steps,Implementation plan,Implementation plan (no change),2024-05-22
OPP-HIST-00879,Next Steps,Implementation plan (no change),Exec sponsor confirm,2024-05-31
OPP-HIST-00879,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2024-06-22
OPP-HIST-00879,Next Steps,Exec sponsor confirm - follow up,Exec sponsor confirm,2024-07-15
OPP-HIST-00879,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-08-16
OPP-HIST-00880,Next Steps,Deep dive,Deep dive - minor,2023-11-19
OPP-HIST-00880,Next Steps,Deep dive - minor,Deep dive - minor - update,2023-12-19
OPP-HIST-00881,Next Steps,,Procurement alignment,2023-12-13
OPP-HIST-00881,Next Steps,Procurement alignment,Procurement alignment,2023-12-18
OPP-HIST-00883,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-02-23
OPP-HIST-00883,Next Steps,Exec sponsor confirm - follow up,Proposal review,2025-03-25
OPP-HIST-00883,Next Steps,Proposal review,Proposal review - follow up,2025-04-22
OPP-HIST-00884,Next Steps,,Deep dive,2025-05-03
OPP-HIST-00884,Next Steps,Deep dive,Deep dive - pending,2025-05-21
OPP-HIST-00884,Next Steps,Deep dive - pending,Deep dive - pending - follow up,2025-05-30
OPP-HIST-00884,Next Steps,Deep dive - pending - follow up,Deep dive - pending - follow up (no change),2025-06-23
OPP-HIST-00885,Next Steps,,Implementation plan,2024-12-09
OPP-HIST-00886,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2025-03-10
OPP-HIST-00886,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending - minor,2025-03-24
OPP-HIST-00886,Next Steps,Exec sponsor confirm - pending - minor,Exec sponsor confirm,2025-04-01
OPP-HIST-00887,Next Steps,,POC run,2025-01-14
OPP-HIST-00887,Next Steps,POC run,Procurement alignment,2025-02-20
OPP-HIST-00887,Next Steps,Procurement alignment,Procurement alignment - minor,2025-03-21
OPP-HIST-00887,Next Steps,Procurement alignment - minor,Proposal review,2025-03-26
OPP-HIST-00887,Next Steps,Proposal review,Implementation plan,2025-03-25
OPP-HIST-00888,Next Steps,Proposal review,POC run,2024-02-20
OPP-HIST-00888,Next Steps,POC run,Proposal review,2024-03-26
OPP-HIST-00888,Next Steps,Proposal review,Proposal review - minor,2024-04-04
OPP-HIST-00888,Next Steps,Proposal review - minor,Proposal review - minor - update,2024-04-06
OPP-HIST-00888,Next Steps,Proposal review - minor - update,Deep dive,2024-04-04
OPP-HIST-00889,Next Steps,,Proposal review,2024-04-29
OPP-HIST-00890,Next Steps,POC run,POC run - pending,2024-05-11
OPP-HIST-00890,Next Steps,POC run - pending,POC run - pending - minor,2024-05-28
OPP-HIST-00891,Next Steps,Implementation plan,Implementation plan - pending,2025-02-05
OPP-HIST-00891,Next Steps,Implementation plan - pending,Implementation plan - pending - minor,2025-03-14
OPP-HIST-00892,Next Steps,,Procurement alignment,2024-02-11
OPP-HIST-00892,Next Steps,Procurement alignment,Procurement alignment - pending,2024-03-18
OPP-HIST-00892,Next Steps,Procurement alignment - pending,Procurement alignment - pending - pending,2024-04-25
OPP-HIST-00893,Next Steps,Implementation plan,Procurement alignment,2025-04-11
OPP-HIST-00893,Next Steps,Procurement alignment,Implementation plan,2025-05-14
OPP-HIST-00893,Next Steps,Implementation plan,Implementation plan,2025-05-30
OPP-HIST-00893,Next Steps,Implementation plan,Implementation plan - update,2025-06-12
OPP-HIST-00893,Next Steps,Implementation plan - update,Implementation plan - update - minor,2025-07-12
OPP-HIST-00894,Next Steps,Proposal review,Proposal review,2024-11-26
OPP-HIST-00894,Next Steps,Proposal review,Proposal review - pending,2024-12-31
OPP-HIST-00894,Next Steps,Proposal review - pending,Proposal review - pending - minor,2025-01-17
OPP-HIST-00895,Next Steps,,Exec sponsor confirm,2024-02-07
OPP-HIST-00896,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-04-04
OPP-HIST-00896,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending - update,2024-04-12
OPP-HIST-00896,Next Steps,Exec sponsor confirm - pending - update,Exec sponsor confirm - pending - update - follow up,2024-05-16
OPP-HIST-00897,Next Steps,,POC run,2024-10-25
OPP-HIST-00897,Next Steps,POC run,POC run - update,2024-11-24
OPP-HIST-00897,Next Steps,POC run - update,POC run - update - update,2024-11-30
OPP-HIST-00899,Next Steps,Procurement alignment,Deep dive,2025-02-06
OPP-HIST-00899,Next Steps,Deep dive,Exec sponsor confirm,2025-02-25
OPP-HIST-00899,Next Steps,Exec sponsor confirm,Deep dive,2025-03-10
OPP-HIST-00900,Next Steps,,POC run,2025-05-06
OPP-HIST-00900,Next Steps,POC run,POC run,2025-06-04
OPP-HIST-00901,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2025-04-22
OPP-HIST-00901,Next Steps,Exec sponsor confirm (no change),Exec sponsor confirm (no change) - pending,2025-05-02
OPP-HIST-00901,Next Steps,Exec sponsor confirm (no change) - pending,Exec sponsor confirm (no change) - pending - minor,2025-05-16
OPP-HIST-00901,Next Steps,Exec sponsor confirm (no change) - pending - minor,Exec sponsor confirm (no change) - pending - minor (no change),2025-05-22
OPP-HIST-00902,Next Steps,Deep dive,Deep dive (no change),2024-02-29
OPP-HIST-00902,Next Steps,Deep dive (no change),Deep dive (no change) - follow up,2024-03-17
OPP-HIST-00902,Next Steps,Deep dive (no change) - follow up,Proposal review,2024-04-01
OPP-HIST-00902,Next Steps,Proposal review,Deep dive,2024-04-14
OPP-HIST-00902,Next Steps,Deep dive,Deep dive (no change),2024-04-14
OPP-HIST-00903,Next Steps,Implementation plan,Implementation plan - pending,2023-11-29
OPP-HIST-00903,Next Steps,Implementation plan - pending,Implementation plan - pending - update,2024-01-08
OPP-HIST-00904,Next Steps,,Exec sponsor confirm,2024-06-27
OPP-HIST-00904,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2024-07-04
OPP-HIST-00904,Next Steps,Exec sponsor confirm - minor,Exec sponsor confirm,2024-07-22
OPP-HIST-00904,Next Steps,Exec sponsor confirm,Procurement alignment,2024-08-14
OPP-HIST-00904,Next Steps,Procurement alignment,Implementation plan,2024-08-23
OPP-HIST-00905,Next Steps,Proposal review,Proposal review - pending,2023-10-31
OPP-HIST-00905,Next Steps,Proposal review - pending,Proposal review - pending - pending,2023-11-19
OPP-HIST-00905,Next Steps,Proposal review - pending - pending,Proposal review - pending - pending - follow up,2023-12-22
OPP-HIST-00906,Next Steps,POC run,POC run - pending,2024-03-14
OPP-HIST-00906,Next Steps,POC run - pending,POC run,2024-03-28
OPP-HIST-00907,Next Steps,,POC run,2025-02-05
OPP-HIST-00908,Next Steps,Procurement alignment,Exec sponsor confirm,2025-01-13
OPP-HIST-00908,Next Steps,Exec sponsor confirm,Deep dive,2025-02-22
OPP-HIST-00910,Next Steps,Implementation plan,Implementation plan - minor,2024-01-28
OPP-HIST-00910,Next Steps,Implementation plan - minor,POC run,2024-02-03
OPP-HIST-00910,Next Steps,POC run,POC run - follow up,2024-02-25
OPP-HIST-00910,Next Steps,POC run - follow up,POC run - follow up - update,2024-03-07
OPP-HIST-00910,Next Steps,POC run - follow up - update,Procurement alignment,2024-04-07
OPP-HIST-00911,Next Steps,Proposal review,Proposal review (no change),2025-01-06
OPP-HIST-00911,Next Steps,Proposal review (no change),Implementation plan,2025-02-09
OPP-HIST-00911,Next Steps,Implementation plan,Deep dive,2025-02-16
OPP-HIST-00911,Next Steps,Deep dive,POC run,2025-02-22
OPP-HIST-00912,Next Steps,,Exec sponsor confirm,2024-03-20
OPP-HIST-00912,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2024-04-24
OPP-HIST-00912,Next Steps,Exec sponsor confirm - minor,Deep dive,2024-05-23
OPP-HIST-00912,Next Steps,Deep dive,Deep dive (no change),2024-06-26
OPP-HIST-00912,Next Steps,Deep dive (no change),Exec sponsor confirm,2024-07-15
OPP-HIST-00913,Next Steps,Implementation plan,Implementation plan (no change),2025-03-01
OPP-HIST-00913,Next Steps,Implementation plan (no change),Implementation plan (no change) - minor,2025-04-09
OPP-HIST-00913,Next Steps,Implementation plan (no change) - minor,POC run,2025-04-22
OPP-HIST-00914,Next Steps,Deep dive,Deep dive - update,2025-03-20
OPP-HIST-00914,Next Steps,Deep dive - update,Deep dive - update (no change),2025-04-18
OPP-HIST-00914,Next Steps,Deep dive - update (no change),Proposal review,2025-05-26
OPP-HIST-00914,Next Steps,Proposal review,Implementation plan,2025-06-04
OPP-HIST-00915,Next Steps,Deep dive,Deep dive - minor,2023-12-31
OPP-HIST-00915,Next Steps,Deep dive - minor,Deep dive - minor - minor,2024-02-01
OPP-HIST-00915,Next Steps,Deep dive - minor - minor,Proposal review,2024-02-26
OPP-HIST-00916,Next Steps,Deep dive,Implementation plan,2024-04-03
OPP-HIST-00916,Next Steps,Implementation plan,Implementation plan - update,2024-04-13
OPP-HIST-00917,Next Steps,,Proposal review,2025-05-04
OPP-HIST-00917,Next Steps,Proposal review,POC run,2025-05-27
OPP-HIST-00918,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-05-05
OPP-HIST-00919,Next Steps,Proposal review,Proposal review - minor,2024-01-22
OPP-HIST-00919,Next Steps,Proposal review - minor,POC run,2024-02-10
OPP-HIST-00919,Next Steps,POC run,POC run - update,2024-03-16
OPP-HIST-00919,Next Steps,POC run - update,POC run - update - pending,2024-04-12
OPP-HIST-00919,Next Steps,POC run - update - pending,POC run - update - pending - follow up,2024-04-17
OPP-HIST-00920,Next Steps,Exec sponsor confirm,Exec sponsor confirm (no change),2024-11-13
OPP-HIST-00920,Next Steps,Exec sponsor confirm (no change),Exec sponsor confirm (no change) - follow up,2024-12-22
OPP-HIST-00920,Next Steps,Exec sponsor confirm (no change) - follow up,Exec sponsor confirm (no change) - follow up - minor,2025-01-19
OPP-HIST-00920,Next Steps,Exec sponsor confirm (no change) - follow up - minor,Exec sponsor confirm (no change) - follow up - minor - follow up,2025-02-15
OPP-HIST-00921,Next Steps,,Implementation plan,2024-11-27
OPP-HIST-00921,Next Steps,Implementation plan,Implementation plan - update,2024-12-11
OPP-HIST-00921,Next Steps,Implementation plan - update,Exec sponsor confirm,2024-12-21
OPP-HIST-00921,Next Steps,Exec sponsor confirm,Exec sponsor confirm,2025-01-16
OPP-HIST-00921,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2025-01-26
OPP-HIST-00922,Next Steps,Deep dive,Deep dive - update,2024-12-24
OPP-HIST-00922,Next Steps,Deep dive - update,Deep dive - update - follow up,2025-01-06
OPP-HIST-00922,Next Steps,Deep dive - update - follow up,Deep dive - update - follow up - follow up,2025-02-09
OPP-HIST-00923,Next Steps,Deep dive,Deep dive - update,2024-12-21
OPP-HIST-00923,Next Steps,Deep dive - update,Deep dive - update - update,2025-01-15
OPP-HIST-00923,Next Steps,Deep dive - update - update,POC run,2025-02-14
OPP-HIST-00923,Next Steps,POC run,Proposal review,2025-03-14
OPP-HIST-00924,Next Steps,,Procurement alignment,2024-11-26
OPP-HIST-00924,Next Steps,Procurement alignment,Procurement alignment (no change),2024-12-11
OPP-HIST-00924,Next Steps,Procurement alignment (no change),Procurement alignment (no change) - update,2024-12-15
OPP-HIST-00924,Next Steps,Procurement alignment (no change) - update,Procurement alignment (no change) - update - update,2025-01-03
OPP-HIST-00925,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2024-03-01
OPP-HIST-00926,Next Steps,POC run,POC run - follow up,2024-10-24
OPP-HIST-00926,Next Steps,POC run - follow up,Implementation plan,2024-12-02
OPP-HIST-00927,Next Steps,Deep dive,Deep dive - minor,2024-01-17
OPP-HIST-00927,Next Steps,Deep dive - minor,Deep dive - minor - update,2024-01-24
OPP-HIST-00927,Next Steps,Deep dive - minor - update,Implementation plan,2024-02-19
OPP-HIST-00927,Next Steps,Implementation plan,Exec sponsor confirm,2024-03-06
OPP-HIST-00927,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2024-03-29
OPP-HIST-00928,Next Steps,POC run,POC run - pending,2024-03-12
OPP-HIST-00928,Next Steps,POC run - pending,Proposal review,2024-03-21
OPP-HIST-00928,Next Steps,Proposal review,Exec sponsor confirm,2024-04-09
OPP-HIST-00928,Next Steps,Exec sponsor confirm,POC run,2024-05-10
OPP-HIST-00929,Next Steps,,POC run,2023-11-27
OPP-HIST-00929,Next Steps,POC run,Procurement alignment,2023-12-30
OPP-HIST-00929,Next Steps,Procurement alignment,Procurement alignment - minor,2024-01-28
OPP-HIST-00929,Next Steps,Procurement alignment - minor,Procurement alignment - minor - minor,2024-02-06
OPP-HIST-00929,Next Steps,Procurement alignment - minor - minor,Procurement alignment - minor - minor - follow up,2024-02-18
OPP-HIST-00931,Next Steps,Proposal review,Proposal review - follow up,2025-04-05
OPP-HIST-00931,Next Steps,Proposal review - follow up,Exec sponsor confirm,2025-05-08
OPP-HIST-00932,Next Steps,Exec sponsor confirm,Exec sponsor confirm - update,2023-11-11
OPP-HIST-00932,Next Steps,Exec sponsor confirm - update,Deep dive,2023-11-15
OPP-HIST-00932,Next Steps,Deep dive,Deep dive (no change),2023-12-01
OPP-HIST-00933,Next Steps,Proposal review,Exec sponsor confirm,2024-02-27
OPP-HIST-00934,Next Steps,Implementation plan,Implementation plan - minor,2023-11-03
OPP-HIST-00934,Next Steps,Implementation plan - minor,Implementation plan,2023-11-26
OPP-HIST-00934,Next Steps,Implementation plan,Implementation plan - pending,2023-12-09
OPP-HIST-00934,Next Steps,Implementation plan - pending,Implementation plan - pending - update,2023-12-24
OPP-HIST-00935,Next Steps,Deep dive,POC run,2023-10-23
OPP-HIST-00935,Next Steps,POC run,POC run,2023-11-20
OPP-HIST-00935,Next Steps,POC run,POC run,2023-12-08
OPP-HIST-00935,Next Steps,POC run,Deep dive,2023-12-24
OPP-HIST-00935,Next Steps,Deep dive,Deep dive - follow up,2024-01-13
OPP-HIST-00937,Next Steps,POC run,POC run - pending,2023-11-01
OPP-HIST-00937,Next Steps,POC run - pending,POC run - pending - minor,2023-11-25
OPP-HIST-00938,Next Steps,Procurement alignment,Procurement alignment - update,2025-01-04
OPP-HIST-00938,Next Steps,Procurement alignment - update,Procurement alignment - update - minor,2025-01-30
OPP-HIST-00938,Next Steps,Procurement alignment - update - minor,Deep dive,2025-02-14
OPP-HIST-00940,Next Steps,Proposal review,Proposal review - update,2024-04-14
OPP-HIST-00940,Next Steps,Proposal review - update,Proposal review - update - pending,2024-05-14
OPP-HIST-00940,Next Steps,Proposal review - update - pending,Proposal review - update - pending - pending,2024-06-21
OPP-HIST-00941,Next Steps,Implementation plan,Implementation plan (no change),2024-04-24
OPP-HIST-00941,Next Steps,Implementation plan (no change),Implementation plan (no change) - update,2024-05-16
OPP-HIST-00941,Next Steps,Implementation plan (no change) - update,Deep dive,2024-06-03
OPP-HIST-00941,Next Steps,Deep dive,Exec sponsor confirm,2024-06-10
OPP-HIST-00941,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2024-07-02
OPP-HIST-00942,Next Steps,Exec sponsor confirm,Exec sponsor confirm - minor,2024-12-19
OPP-HIST-00942,Next Steps,Exec sponsor confirm - minor,Exec sponsor confirm - minor (no change),2025-01-17
OPP-HIST-00942,Next Steps,Exec sponsor confirm - minor (no change),Exec sponsor confirm - minor (no change) - update,2025-02-25
OPP-HIST-00942,Next Steps,Exec sponsor confirm - minor (no change) - update,Procurement alignment,2025-03-09
OPP-HIST-00943,Next Steps,Deep dive,Deep dive - follow up,2025-04-01
OPP-HIST-00944,Next Steps,Deep dive,Deep dive - minor,2024-07-02
OPP-HIST-00944,Next Steps,Deep dive - minor,Deep dive - minor - update,2024-07-21
OPP-HIST-00944,Next Steps,Deep dive - minor - update,Deep dive - minor - update - update,2024-07-31
OPP-HIST-00944,Next Steps,Deep dive - minor - update - update,Deep dive - minor - update - update (no change),2024-08-12
OPP-HIST-00944,Next Steps,Deep dive - minor - update - update (no change),Deep dive - minor - update - update (no change) - update,2024-08-22
OPP-HIST-00946,Next Steps,,Implementation plan,2024-12-03
OPP-HIST-00946,Next Steps,Implementation plan,Implementation plan - follow up,2024-12-11
OPP-HIST-00946,Next Steps,Implementation plan - follow up,Exec sponsor confirm,2024-12-11
OPP-HIST-00946,Next Steps,Exec sponsor confirm,Exec sponsor confirm - pending,2024-12-10
OPP-HIST-00946,Next Steps,Exec sponsor confirm - pending,Exec sponsor confirm - pending - pending,2024-12-10
OPP-HIST-00947,Next Steps,Exec sponsor confirm,Exec sponsor confirm - follow up,2025-01-25
OPP-HIST-00947,Next Steps,Exec sponsor confirm - follow up,Exec sponsor confirm - follow up - minor,2025-02-08
OPP-HIST-00947,Next Steps,Exec sponsor confirm - follow up - minor,Procurement alignment,2025-03-19
OPP-HIST-00947,Next Steps,Procurement alignment,Procurement alignment - pending,2025-04-19
OPP-HIST-00948,Next Steps,Proposal review,Proposal review (no change),2024-12-26
OPP-HIST-00948,Next Steps,Proposal review (no change),Proposal review (no change) - follow up,2025-01-17
OPP-HIST-00948,Next Steps,Proposal review (no change) - follow up,Proposal review (no change) - follow up (no change),2025-01-24
OPP-HIST-00948,Next Steps,Proposal review (no change) - follow up (no change),Proposal review (no change) - follow up (no change) - update,2025-02-23
OPP-HIST-00948,Next Steps,Proposal review (no change) - follow up (no change) - update,Proposal review (no change) - follow up (no change) - update (no change),2025-03-26
OPP-HIST-00949,Next Steps,Proposal review,Proposal review - pending,2025-05-19
OPP-HIST-00951,Next Steps,Procurement alignment,POC run,2024-05-18
OPP-HIST-00951,Next Steps,POC run,POC run - pending,2024-06-11
OPP-HIST-00951,Next Steps,POC run - pending,POC run - pending - pending,2024-06-29
OPP-HIST-00951,Next Steps,POC run - pending - pending,Deep dive,2024-07-16
OPP-HIST-00951,Next Steps,Deep dive,Implementation plan,2024-07-26
OPP-HIST-00953,Next Steps,Proposal review,Procurement alignment,2023-10-31
OPP-HIST-00953,Next Steps,Procurement alignment,Procurement alignment - update,2023-11-23
OPP-HIST-00954,Next Steps,,Exec sponsor confirm,2024-02-04
OPP-HIST-00955,Next Steps,Implementation plan,Implementation plan - follow up,2024-05-19
OPP-HIST-00955,Next Steps,Implementation plan - follow up,Implementation plan - follow up - pending,2024-06-11
OPP-HIST-00955,Next Steps,Implementation plan - follow up - pending,Implementation plan,2024-07-03
OPP-HIST-00955,Next Steps,Implementation plan,Implementation plan - follow up,2024-08-09
OPP-HIST-00955,Next Steps,Implementation plan - follow up,Implementation plan - follow up - minor,2024-08-18
OPP-HIST-00956,Next Steps,Implementation plan,Implementation plan - follow up,2024-02-27
OPP-HIST-00956,Next Steps,Implementation plan - follow up,POC run,2024-04-02
OPP-HIST-00956,Next Steps,POC run,POC run - minor,2024-04-15
OPP-HIST-00956,Next Steps,POC run - minor,POC run - minor - update,2024-05-11
OPP-HIST-00957,Next Steps,Proposal review,Proposal review (no change),2024-03-13
OPP-HIST-00959,Next Steps,Implementation plan,Implementation plan - update,2024-05-21
OPP-HIST-00959,Next Steps,Implementation plan - update,Implementation plan - update - update,2024-05-27
OPP-HIST-00959,Next Steps,Implementation plan - update - update,Implementation plan - update - update - follow up,2024-06-07
OPP-HIST-00959,Next Steps,Implementation plan - update - update - follow up,Proposal review,2024-06-29
OPP-HIST-00959,Next Steps,Proposal review,Deep dive,2024-06-30
OPP-HIST-00960,Next Steps,,Implementation plan,2025-02-18
OPP-HIST-00960,Next Steps,Implementation plan,Implementation plan - minor,2025-03-09
OPP-HIST-00960,Next Steps,Implementation plan - minor,Implementation plan - minor - pending,2025-04-12
OPP-HIST-00960,Next Steps,Implementation plan - minor - pending,POC run,2025-05-16
OPP-HIST-00960,Next Steps,POC run,POC run,2025-05-30
OPP-HIST-00961,Next Steps,Implementation plan,Exec sponsor confirm,2024-06-16
OPP-HIST-00962,Next Steps,Procurement alignment,Procurement alignment (no change),2024-05-05
OPP-HIST-00962,Next Steps,Procurement alignment (no change),Deep dive,2024-06-02
OPP-HIST-00962,Next Steps,Deep dive,Deep dive - minor,2024-06-10
OPP-HIST-00962,Next Steps,Deep dive - minor,Implementation plan,2024-07-14
OPP-HIST-00962,Next Steps,Implementation plan,Procurement alignment,2024-07-19
OPP-HIST-00963,Next Steps,Exec sponsor confirm,Exec sponsor confirm,2023-12-16
